Total supply:  1000
############## Round 0 ##############
Account: 0x83Ee3fF3F1871E0A46Ae55B9ebfB0Fc6c6Bd1583, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1927267351466511700, Bid count: 0
Account: 0x272CE085e9F7c3853421528771202e0dfe3adB69, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2003339958535477000, Bid count: 0
Account: 0x75F5fBAf7f77e98A858860e701e562Df5E119E1F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2535877124135700500, Bid count: 0
Account: 0x94d98Fa27D8a4578fFb6C2305489A00da81fa047, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2407090891610971000, Bid count: 0
Account: 0x2F9A4647DFDA3D3AB3828660f8516926D08968aD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1530209636256255400, Bid count: 0
Account: 0x1c15eBEb90574d1F587c64bEbA50167Bc85AA5B0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1637299450934278900, Bid count: 0
Account: 0xA319db2690C0105540Cca785649A65aD2603E3e7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2838785995576935000, Bid count: 0
Account: 0x2267E1299Ef1D644124B2473c235Cc025359f471, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3009777964602175000, Bid count: 0
Account: 0xe9BCa6ee94BB18301E6c93383b5F4b74c61f87B0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2212295620067977500, Bid count: 0
Account: 0xE5bE7f84e6905Ef2D37308f72cbE4c5b5Bd59bCB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2695710086339362400, Bid count: 0
Account: 0x5Ed2BcA7c4A3324021ca30e31897f09BA7A6fC1D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3801096882424225500, Bid count: 0
Account: 0x6d470947b55412837E687b29c4FE0ccAC1eE7439, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1904296473550192400, Bid count: 0
Account: 0x8255D1DA2cEE87FBEa9e83b0dA3705a4c377d35E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1742620568279900500, Bid count: 0
Account: 0x45b00A8711b39D780618645ECEd76a479f5b3826, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1759363043334597700, Bid count: 0
Account: 0xBFD59c6185A1Ec0597810a2aC7e6724F697A3723, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1851632060573271200, Bid count: 0
Account: 0xD91213A32B470E1DD84bF9dcc8082f3A207548a2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1259211875811781600, Bid count: 0
Account: 0xb6Fb207DDAE7b377CEec1778AEDD0feBB4b94158, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3648423822549007000, Bid count: 0
Account: 0x333D7C5d189189Ec4FA734934054ee6C1379C2D4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2094122777794393400, Bid count: 0
Account: 0xd4ba16ae78Bb234AfeD1b3D969e5974Ea1A959F5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2108458407754415700, Bid count: 0
Account: 0x7Cf1F4367cD82515864C759292d4F7e25db36E7C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3129322764191088000, Bid count: 0
Account: 0xfd6d4d8F99b90Bfea1D3eDF24f9CF7C88cA519bc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1445276129944079700, Bid count: 0
