Total supply:  1000
############## Round 0 ##############
Account: 0x8C62005D32cf7782e9F39826E78Ab19AdEB09895, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2207575906171563000, Bid count: 0
Account: 0xE7E9BE8F1c74111FF70AeeB7CE1635300d9595ED, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1640394893015823400, Bid count: 0
Account: 0xb7845360642e9F44BFc6b4f566E7c4b2C84F9C9F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2152135033584779000, Bid count: 0
Account: 0x70b5290be4aCCF96ce89364C8111632aF62bAe55, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4272368370639684000, Bid count: 0
Account: 0x1015AcBb9B955FD40834B7CFE437b96EaE63c665, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1371325641349451700, Bid count: 0
Account: 0x2904cC4c925d8d67EC0b6fcbf4a5cE7e45f46276, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3147763311621765000, Bid count: 0
Account: 0x69459d874DD28cFAE654D4Faed4D5dc0b5D9cA89, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2639658590848056000, Bid count: 0
Account: 0x28774f35a10B37A5cFb941529312EAA0ADde187d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1354491731619363600, Bid count: 0
Account: 0x749D68524cd07952CbD3F94abDAeE1162ae8e1ee, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3742558450460348400, Bid count: 0
Account: 0x9651d28bDEB9e341b7E40e5fAF2C72ECFaa95856, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2002988943766053500, Bid count: 0
Account: 0xDfcA0C65CB31f4873A5c2994f454e36C605Bb501, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3084227940789485000, Bid count: 0
Account: 0xB4BbADa153ACC70121514f8Ab409cd308605FF8F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2111356994959084700, Bid count: 0
Account: 0xa924eD9626210A7246cd70614E10aC6Ae5f43A23, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3974645377572335000, Bid count: 0
Account: 0xf6Bd44b327bE9b25c22d72C411b56360841Fbe20, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2647094361945274000, Bid count: 0
Account: 0xba036726E0937113A69fE7B3Cf0A04619020d8BB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3424336241214339000, Bid count: 0
Account: 0xdb7e43E850662F18e06B5D7690946baFA1142eA8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2404718953716446600, Bid count: 0
Account: 0x9806e14DC90954a20082DBa1E99d8055B2625d28, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2180033403478793400, Bid count: 0
Account: 0x66dCb420A608f5FF5FFb4477776d9EBE8E7a87a9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1742515790141146500, Bid count: 0
Account: 0x49aC98e586159ed05Ca5034d368745F25dAbD9Fc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2839982456843868000, Bid count: 0
Account: 0xB0f3984d680b85BDF8DA5EB9EAAB2f1f59469a28, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3589911323595484000, Bid count: 0
Account: 0x8c7073e6Dd16B0D1aEBcb44A0072024e9d9e07b8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2318086128221589400, Bid count: 0
Account: 0x40150f50715fe803e6DBe27F0d6F0faf778Ccc83, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2260349918710699200, Bid count: 0
Account: 0x142F6b73CAE4C5e389De3C5e0588aE99D8d53aFD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1727445251266975600, Bid count: 0
Account: 0x64d04d9DDA84f409016C69f452e90F69a4448A3F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3697467842137122300, Bid count: 0
Account: 0x130d3F69375925B6796e3806EAd6566e6eba96be, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1885129904719564000, Bid count: 0
