Total supply:  1000
############## Round 0 ##############
Account: 0x654a5c187c78c02CC373b92903fdd25D5600c3AE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1229023565447008700, Bid count: 0
Account: 0x2eFBfF1BA6f2c3E554eBf045C309e38bB7e4c220, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1569918222716610400, Bid count: 0
Account: 0x24521B8b0fFe6d2Ae3f886b1bDE708e8cA3612C5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3293339914850723000, Bid count: 0
Account: 0xc90bef81d7BB58318eF547Bd03a5e6fa77253152, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2330539156610775000, Bid count: 0
Account: 0xf817D400d0a101e1B1cb5ec28926f23F226F7486, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2314723804729044000, Bid count: 0
Account: 0x6a414EA14c5931DA09D7F399336C0FC248dC9128, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2315587975716510000, Bid count: 0
Account: 0xEc14C23fB427adDaC157bBec46b96315a8ACb2c9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2393235189379346700, Bid count: 0
Account: 0x69DD37d5fdc02EB47661BD7eFe9E402daeFc72B9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2033269768218977500, Bid count: 0
Account: 0xc2c4Bc395B57305097C2Fdaa5Da24E74f461c3C8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3716805439671010600, Bid count: 0
Account: 0xcA989380ac866512502ddE7CC50A5B8db1Ee636d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1471454256770669900, Bid count: 0
Account: 0xD92F59f84bf253B6f2540E6af6f3608fBA6F14ca, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1431480815409720500, Bid count: 0
Account: 0x7670a191eeAE90E4D4bEa62D0F95A9DCF7Ac55Fe, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2661776683950193500, Bid count: 0
Account: 0x315aB107fb710236d64D7E6F07154d9010C976b1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2920797256813435000, Bid count: 0
Account: 0x48bB49c94814232167a30132726165b2262b620F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2351117344716663600, Bid count: 0
Account: 0x72068bb8Be879951e2ae8Fb3025Ef7B3DCC9cDdE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2204241676113520400, Bid count: 0
Account: 0xDF8c900F879485C4B39d0e051635a1a2aDc6E984, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1725827768720469300, Bid count: 0
Account: 0xE98f8993Ff0910EaCBC00CC6Da443C4bE7f899ad, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1895269821085237400, Bid count: 0
Account: 0xC683DC33459156c0C515270E1b7F8A2B2f227D39, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2886887883406540600, Bid count: 0
Account: 0xeE2f49b279793C4aBfc084b15a449A04441c7d30, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4014176072014837000, Bid count: 0
Account: 0x5B90d82f7d39dEcc9c85a41c2f132f70d5227D10, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2222201300884799000, Bid count: 0
Account: 0xc3F1eA675578634A7b2e9D7DbA2Ad976D9BAD791, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1808960639958365000, Bid count: 0
Account: 0x25176bCDD01Aa4D2CfBB0BAA8fa153963dF88612, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3217042050193087000, Bid count: 0
Account: 0x057Cf99c7C1325Cb77Bd8D94B7E6130654Cc2EF8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3471668402754784400, Bid count: 0
Account: 0x1b6E7fA38DB08a7696d39909f3e5d4C24c0d3001, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2154243518508496000, Bid count: 0
Account: 0x9eE419e85A253570C0422dF447B99853e2e9d86c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2076703024278314700, Bid count: 0
Account: 0xB09B9b4C7eEeC4083F0f19F78A485b651B1A1443, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2483595380460176500, Bid count: 0
Account: 0x3c997A02735F72b184Db41f58A621909281Fe0a8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3199684121228158600, Bid count: 0
Account: 0x53626f936776F0bD7f4a3a1C3Dcb3a4245EB5a77, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1713950628095053000, Bid count: 0
