Total supply:  1000
############## Round 0 ##############
Account: 0x6Fad6a207688FB75C06835eaF976E94301aAB362, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2131691198213818300, Bid count: 0
Account: 0xc67bE303F601697fef062fb7E3365b4A318c2E84, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2591481815032594200, Bid count: 0
Account: 0x086104a251D03D5deff51dBFc144ce81BcdD96cf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1667247332160091600, Bid count: 0
Account: 0x22f5295315Dc846d0224eBA5C20af36C53d30263, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3170857369798065800, Bid count: 0
Account: 0x782F8355137c6173723523107108118Ed31Af8F0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2105081838633102000, Bid count: 0
Account: 0x2FAD1481753E7736B209AfcD33224Ec179C85Dbf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1575802676833075300, Bid count: 0
Account: 0xc917DBb2EfBE3C219539a31eA7921A25C3fA0aEB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2006949506165561600, Bid count: 0
Account: 0x99413f35452B8b10627b63Aaafb417b7d090fFa7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3393737211990551000, Bid count: 0
Account: 0xF68446D100f607b86E20458DFC572F9430fA7E39, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2663158001518550300, Bid count: 0
Account: 0x8d3f838472157f3F881aF97D93968B3D9d711647, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2770529082837379400, Bid count: 0
Account: 0x53E275eC52E0f18FaFAd5ffd4B270968D8eb35da, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2462760812545268700, Bid count: 0
Account: 0x4270840DDDf634C29abE8CeCC4C42129C7c5593f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1726056304750218900, Bid count: 0
