Total supply:  1000
############## Round 0 ##############
Account: 0x547AdB30ACF9e973eC74d37e04c35678c282d5c7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2769766626787089000, Bid count: 0
Account: 0x81A28D0714F67D869f8Da8b211332ccCb2AFa1FD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2971463743573646000, Bid count: 0
Account: 0xC1dE5e5B55535Ca4B4eB470D224128CAB11a9E51, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1973654532024949700, Bid count: 0
Account: 0x8966b22552031b627eCc13FA39a5eF390B7BACA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4665827851004940000, Bid count: 0
Account: 0xb8D6fc37ED67F6e2FbA0EC75717e843b084C46D1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1730571747804240800, Bid count: 0
Account: 0xE676af36763734B9452D7C318a20d0A0567a0BDE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2280859292451009000, Bid count: 0
Account: 0xdd1be5D67823D93a7e79fb34B549468B8ad82fec, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1703376121774966300, Bid count: 0
Account: 0x1278114a8C2D9380763C861ca2c2e2D903cb1B58, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3565432783365811700, Bid count: 0
Account: 0x458FfBaf9F734Dce44Ede9356FB71cB0843f447d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1437753357356672500, Bid count: 0
Account: 0x0a03CF8bF90bb7fAa393828021aE5d7b29D7b89f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1362926980836158200, Bid count: 0
Account: 0xB7D58ED0Ac1A4dBa0ae6aa9B389b3Fc901Dd31c8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1881209344711113100, Bid count: 0
Account: 0x39b536215aAbb9Ce6445089fd3c179D122eB8De4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1998946952554106400, Bid count: 0
Account: 0x10691965A2bf71eBD22ecA1470eEd3727D20F299, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2102758735632348500, Bid count: 0
Account: 0x1B6d5938Fb51c2bA2FEB4cCC2813252888c8611b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2545839510036183000, Bid count: 0
Account: 0x93B1628aD70EC077a753b816f49B196218D75535, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2808143102281220000, Bid count: 0
Account: 0xc80fDE6Be5231362747a87B83C30db73E5ba9FD0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2129257024307318300, Bid count: 0
Account: 0x56CBAF6A81d8Ff66834eDA42F3fDFB596cb622BC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2564878822525708600, Bid count: 0
Account: 0x789eb83C5f176c369389a22f80C10e28d34d5155, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2525421688248107000, Bid count: 0
Account: 0x6E3BB5396d907F003266cF05615572a56e5C00eE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1287404078353749300, Bid count: 0
Account: 0x78Ef5cF89FDCc9eFe08d436B273DC5A43049C636, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2145060237790002800, Bid count: 0
Account: 0x43278677fb93E2c8f3Cf2da069fEA72238F60dE5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4393186096631563000, Bid count: 0
Account: 0xCB2288230741C8f210d5275fbefbaF170Acc1504, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2935115779188483000, Bid count: 0
Account: 0xC2759cbEeAfb77122581C23EBE4f506CFDd2cd39, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2600939954821427600, Bid count: 0
Account: 0xa6AeD2d52A8631D4505007a5f9269D1bF9BA35dc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2681212498470499000, Bid count: 0
Account: 0xD2157Ef5184E62029a4f46E6bF0A3240111016Ec, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1624406952075790900, Bid count: 0
Account: 0x6B04f05A21F1c24F0098032bdbC7491662b84E7a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2570630524088945000, Bid count: 0
Account: 0x5df9fD1b38674f07F1428bEa7a83F52FcDe0e602, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1400656423472960600, Bid count: 0
Account: 0xcC8C8719E51669076deD41186E01e159DA374814, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3185399378944662600, Bid count: 0
Account: 0x335A4A4B7F88254BB0e844fb947337F3f22CD84A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3857633344675290400, Bid count: 0
Account: 0x929D9928E23c8BD7E1F1ee1cA9cb4c0B9de39B7f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1948191802671331200, Bid count: 0
Account: 0x3a0a0365941d89EfCE7F87759F2096c0D68A3288, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2356443719788024000, Bid count: 0
Account: 0x26DAaa6590c481EaF85B24f72666B51Bfb125a89, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3243762599249223000, Bid count: 0
Account: 0xc8e2A7733B5Fbf05C69BC64f975a5fBE30698b75, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2578731909297340000, Bid count: 0
Account: 0x0BC28f18Fa43e65F4BEDCe1d2d8a141db39Dc3cA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2158011027250597500, Bid count: 0
Account: 0xE6E7f4a16D9197669e9d6CF424B1c94ddb07d6cd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3792127029654847700, Bid count: 0
Account: 0xF8b31acda87Abd6a59d95514CE967706006a607e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1882053566362981800, Bid count: 0
Account: 0xD297C8E2a6559439C46B5290fc9d588F19CE534b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1528955866446327400, Bid count: 0
Account: 0xc7bB8C41447b086d1CbcaB5992c6872c1D2794fA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2611759813150397000, Bid count: 0
Account: 0x30624b6f35231196f0515C61463f58a4f665F47C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2546619361071096000, Bid count: 0
Account: 0x2874F366f0622E17fB57D42527C5D5920E2be6A5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2798348620536622000, Bid count: 0
Account: 0x2EA6A379886182DfdCdF7BD2BAbc27864865cfe2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1447667858210615300, Bid count: 0
Account: 0xEc26a7E0A8823F45Ee85753e6875d4938375B4C5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2159603939398448500, Bid count: 0
Account: 0x1435fA553010901CCE20c0d7AddF42B1aDAf121e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4185619464221296000, Bid count: 0
Account: 0x9Ec1095e7A98f115526Ac39c793A3071Eb8e4D29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3904257977931077800, Bid count: 0
Account: 0xd82Cef05fB3f59000e0ccC79a446ec8de9EDEB25, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1616430799290111700, Bid count: 0
Account: 0x3dEB9E7a4897EB3c1CB93d50E429B213Af1d234c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1917060416329560400, Bid count: 0
Account: 0x1e1F12536EabA01b2899A3eF70F89420392BdA15, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1402897295189398000, Bid count: 0
Account: 0xa892bDf9af48CCDfEdbc9e76930ef8e31FbFb25B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2449021805137667800, Bid count: 0
Account: 0x7c3F249abe6027E759c743cdFbE71b4970249c80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4272152923777689000, Bid count: 0
