Total supply:  1000
############## Round 0 ##############
Account: 0x4Cf742658c47017df2195560aff92659E0d16439, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6457289442224028000, Bid count: 0
Account: 0x24862Ba0cab8Dd83aD56b8b2C3E34f4D257Dc6Db, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3211249401783903500, Bid count: 0
Account: 0x87EC91c0556b4F86E3335C41Fb09B20A5EaEAAD2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1583432031811049000, Bid count: 0
Account: 0xfe58a24A954bB94B8041567B5Dd77B8e8972B12C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2388289745202893500, Bid count: 0
Account: 0x76d7d92bD8c4e5C7D8777ab35fA8a415b5bEb2C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2405731939038345600, Bid count: 0
Account: 0xb637E39939c5A788b424132F28e55c5d0743f1C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3267408822904432200, Bid count: 0
Account: 0x5de909DF603Ec4A4aC220755b41F4b1efF38E448, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2279829564525489000, Bid count: 0
Account: 0x6517608f27c02A2b3CD7873DACd6143146F09522, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3021390628564909000, Bid count: 0
Account: 0x4Efa0aF9CCB8F7CD5A71EB067B71CfA4cfa3FaDd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3356225719781256600, Bid count: 0
Account: 0xDdF494E6FcCdde6b985F96D9102500f3B7cEaCd6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4709744126929453000, Bid count: 0
Account: 0x5985C9829e48dDe3b2d3B348BeA063F0399962A7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3649909411404340000, Bid count: 0
Account: 0x0B1F8D7ca413CbBBCac07F19d0b4D953f59311c2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3383113603772518500, Bid count: 0
Account: 0x4Ef72e8CE1f9B7104B4FdB523EDe8259d9182778, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2364215675215342000, Bid count: 0
Account: 0xe9c7E115f0bBEE1cfa2d56aa24D608daB6b150F7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2337848962914393700, Bid count: 0
Account: 0x11E7f8aA38a35f45ddEd61cDE438e85c9d6decB4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4426560703408462000, Bid count: 0
Account: 0xA373FE4B33D161966eb7c03Aea7DFa516b54468D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1557394210883062500, Bid count: 0
Account: 0xc84bC254c0879a29d68168e28Fa6f86B20c5A240, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4173366915759923000, Bid count: 0
Account: 0xE1479F7D18582d0319b739836986D0F252C98d5a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3071246443310268000, Bid count: 0
Account: 0x8ECc652b1963822f07f4169BC3E01F9abc1a7A4e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2635335622940120400, Bid count: 0
Account: 0xe0427822f1E0c9ea04C3DA818DE4393528837B38, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2076190991397859300, Bid count: 0
Account: 0x23496E3454724b69a13b8D27aF653D0eA8AF27ec, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4381552911795239000, Bid count: 0
Account: 0xc3D28b055CE87336A92F0cDE0738af4f18D788c4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1650903273118459600, Bid count: 0
Account: 0x44EEf089075C29f596c5e3e4A9b83A8f723c7eE6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2107997581409462000, Bid count: 0
Account: 0x0eDa37891E7cDC3D3a58582A8d092F72E90B92a5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2232665811686385600, Bid count: 0
Account: 0xEc84f01214B0c52E0633E37005E879398DFDf47f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2841810056169525000, Bid count: 0
Account: 0xceC7A24AE5f5C8615a7B1A36151a8542DC6B892D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4557062870960141500, Bid count: 0
Account: 0x5589e1AF91e3905Fd0D223b025Ba284E801580Cb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2035185615272880000, Bid count: 0
Account: 0x33f60f2EcA565C79a44a6C4Fa87707c31c602756, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1494319293970019000, Bid count: 0
Account: 0x985fe19eB2A26Ef24Bc1475BF305a2d0872678D3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1984846364439771800, Bid count: 0
Account: 0xf97d04f94DE7890F4594bd8976029e4A3b8cC139, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1644845172091611700, Bid count: 0
Account: 0xE7Dd376f1C0B38D21CFca485a78EED2340191EEA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2347309858355100000, Bid count: 0
Account: 0x84BF2529cEc306fd80fE18989f8C676d21E0F842, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1839778649432915400, Bid count: 0
Account: 0xc29493A7364E901B6A805208Fa16f5d21d8de62f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2806780652000678000, Bid count: 0
Account: 0xEF82f2122c8ad27BaE736F393A368E23D52471E3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2538527311156431000, Bid count: 0
Account: 0x041f7BD40Bbe3c104a8D30d36a1987414e663521, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1670307306838125300, Bid count: 0
Account: 0x47e2733461d3613d40C700452Ce7B270F85FCAe6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2170913965549752700, Bid count: 0
Account: 0x64Fcc51eE7E5000D4222D9251b8345c219240eeF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3126081990342991700, Bid count: 0
Account: 0x6AB6ce761fe77d5A46014739e906C1D5b4F92665, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3718273001891473600, Bid count: 0
Account: 0xe550474E70eA54B80DA5c23f88495BA80afF3f7c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3183924803347318000, Bid count: 0
Account: 0xa64918ADf366681d92FD8f9A48DDFfFb091dD1E9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2567420997701888500, Bid count: 0
Account: 0x65802aBda700F27D575124151018F39CEF060f83, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1290601482419487600, Bid count: 0
Account: 0xFF40C34ADb1660d03cC3A781C4768662c325447C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1423318654402668100, Bid count: 0
Account: 0x56AE13d641E75AF610415Cb54E258AC3725cd91E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2153487698442148700, Bid count: 0
