Total supply:  1000
############## Round 0 ##############
Account: 0xD57BaFa671CCa34Ce00a7BcD9608Be19c0569B7E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3112728666620632000, Bid count: 0
Account: 0x9eB6bdA1eB805BB2237A9478213A01245b3bD22c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4278542824659674000, Bid count: 0
Account: 0xE08425F89119C6910c58CB72D2775c5d65235265, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1990980485609175500, Bid count: 0
Account: 0x721a654faf08bDad8b4469EF0B57aaf79Ce5dB64, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1862419468686001800, Bid count: 0
Account: 0x4A7f0b7015ad90cE0f9294461137270304a45262, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1585604951264892600, Bid count: 0
Account: 0xA7295C9ad32eEF0D91dAa068800a4bcd29FA4B78, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3091988790872685700, Bid count: 0
Account: 0xcC0194074Ae4cA2079224Ece586b215229E8F06F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5872982907487334000, Bid count: 0
Account: 0x812A6a1Af2AB5d938e247Aab910226A69623b457, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2571763737163615300, Bid count: 0
Account: 0x97Be464D22672C5Ca16Cb9eA92C519036c2C839f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1222664816872524500, Bid count: 0
Account: 0xD6cacc010126211d17fbA4229D277E35b01EC571, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1542850409327954700, Bid count: 0
Account: 0xCb659072990ae3bc21979277489A3F62E8511fC8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2787851507823722000, Bid count: 0
Account: 0x3Fb7DC971682a7D5BdFa783456598476Bc2B1452, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1945323150157183500, Bid count: 0
Account: 0x878d33702f1B70ED86cCE5881367E4565fc40bb8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2765056605860360000, Bid count: 0
Account: 0xD72708964A3A7541ba2BA93CcAEe3D4BFff4952e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1688131676675548800, Bid count: 0
Account: 0x524469e7F9c7aBbafadE1087e29c4A350d39c7B2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2056484743276576500, Bid count: 0
Account: 0x00af82860Cfcd4d583b40b3F450230E209Fb44D0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2252466663645840600, Bid count: 0
Account: 0x0A8AE30A1110D32EF27E8ac8f8d039aA16C23eaA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2397769494541302000, Bid count: 0
Account: 0xcFfaCC217f73E2F827D2597149872c3d8c16Ec29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2377543526258667000, Bid count: 0
Account: 0x0BD2F04d9e0f9D323fc27704d6434A4DA8e2cc27, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2798539265433601000, Bid count: 0
Account: 0x69F3DDde159adf5C98701398Ad32BBd870c4A130, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1883013409955039300, Bid count: 0
Account: 0xcB99C155EDF1Ee501d07b3b7a4b50A1c6b848F59, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1864330127440481500, Bid count: 0
Account: 0x98D92fd008457cBD8a4bB1b3299570552F07a9F5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2369539522031846700, Bid count: 0
Account: 0xFCA17540784c6c1b9a949E0e1bb560aa08d53a56, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2093557337567782000, Bid count: 0
Account: 0xCeBC4d355a5E5F33Dcb4D2520f3e20d3164882A7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2637700695988385700, Bid count: 0
Account: 0x524E0558789ef4FC68E18f6154d8768ad32bB8cF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1782998811452113600, Bid count: 0
Account: 0x193DBFC5d4cADE3EE22B1e7E7dbCF88354d65218, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3389354953989587700, Bid count: 0
Account: 0xe3E0FB53A744580F54EdFE36773a2C3aCDF6A0Ee, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1660654501881129600, Bid count: 0
Account: 0x6D9E8E2C4a28fE47C45B20b8e209F4b09B7F1add, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1876121791527345400, Bid count: 0
Account: 0x90949D43280F7b6BBFBf19186A30075Fd48a1F82, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2635086817193907500, Bid count: 0
Account: 0x4019fCd9910F2d20058b56Ca70afe2014A9ac206, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1807053494553867700, Bid count: 0
Account: 0x05dAF239b3DC81cdcA2bC4c6ed59719D67F10456, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2923430415802102000, Bid count: 0
Account: 0xAf4A9f5cc9c09AE55A8E409BbAAFc33b5Dd0330C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2361937571394065000, Bid count: 0
Account: 0x9a053E3BEA9Fc916a6BcaF5feaB09D01d1d5A4B8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1362086338277764800, Bid count: 0
Account: 0x316d1a858f9b5cAE9080675894dbE019B896417B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2660698486549279500, Bid count: 0
Account: 0xaFbF3fCca2837293d5a3CA894A7061A9C1ad25a3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2780192409571152500, Bid count: 0
Account: 0x3A792dF786BD69AC6Ded52948867BB025143bC70, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2175977037092716000, Bid count: 0
Account: 0xdF86cAcFF685e6951957E96FdCB3379DFfb19cA7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3290117248380446400, Bid count: 0
Account: 0x668D9B7701492043Fb7551f4C80E28B321bC4B14, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2510189218136150500, Bid count: 0
Account: 0xeE09EEbc2F2a744cBfafE353Baf78B4d9D7B866E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1344127207359916000, Bid count: 0
Account: 0x376410AFeCaafBf0079D7900Bc43755d4c0FBF5C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1666994379703481000, Bid count: 0
Account: 0xAE18c476392aAF11DfDC16b870a86D8f1C3A54C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1289118442356268000, Bid count: 0
Account: 0x32c6D51aBBb28932c6bf6b6F48b9C971e28F797D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2307347845183678600, Bid count: 0
Account: 0x14ED991a6651809E1B86F3007bd6fF8fe91ee7f9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1399812235450961200, Bid count: 0
Account: 0x95A4560d120E7E17418f030CD09206D89318FFbB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6556978005533236000, Bid count: 0
Account: 0x159B9e025E64526061BA827e171F0269EbeaB504, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2720214951270100000, Bid count: 0
Account: 0x48e120383cEc0143f495A74A7028571B737f6957, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2258069693081078000, Bid count: 0
Account: 0x0b6Ab3AB890274367bCa5D5997eEf59a53EC79dd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1604878189104949000, Bid count: 0
Account: 0x8Ffa1138D47672e4AAAf287c66B539b9c51C860d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4277413095637160000, Bid count: 0
Account: 0xE9DF3D99bF3Ae8431D89231096a02774b2f48820, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2115891938044111700, Bid count: 0
Account: 0xaBE680f7D9d2cE3e19f521dE89f572ab683B5c34, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3282017338948923300, Bid count: 0
Account: 0x6E28E2e262EB386ea7e508da9a26387697B8fB7D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2271695944309475300, Bid count: 0
Account: 0x3760EE93049729bA8d06366E03a767ae45B3679B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2812757965299536000, Bid count: 0
Account: 0x601534E4dA811FF87edB55b2E428d6c798e8EDC8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1762428557494542000, Bid count: 0
Account: 0x4c04C8e0C25C2021E03105F3aed58ea273117a6A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3799959751673282600, Bid count: 0
Account: 0x1E1c6D5Cc85C467777296BDC0686191Bf4551051, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2288963904310321000, Bid count: 0
Account: 0x0584c93c97Ab7DEcaF91cdDB7Ef17A69a7EDE3cC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3544226453327906000, Bid count: 0
Account: 0x9946A8487E52fA89B10Bde905bE5788b0b87f0d4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2796074023960865200, Bid count: 0
Account: 0x9B94EE180085bf20adB1d44A89d9D1F3DDd06E31, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2204900795311409500, Bid count: 0
Account: 0x57b3C204524425E576b32865062d0533935e2766, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2428277697957823600, Bid count: 0
