Total supply:  1000
############## Round 0 ##############
Account: 0xc6A2ce944912835A165Ea33F03C237C76045733b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1846393397425834900, Bid count: 0
Account: 0x67326B7643F54794262A5c20B3643bE945bbdf3F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2960670750699083700, Bid count: 0
Account: 0xeA1c62525f0d7E11CC3F1078093542190D421Cbf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3099455235346749000, Bid count: 0
Account: 0xdAbC751A847b5728f2f4bDeF8B4F07175b6B0579, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5186612254518815000, Bid count: 0
Account: 0xec79a92Ca500B6A9Dcc1b55c55ac6Fa197Ad2272, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3032292214193083300, Bid count: 0
Account: 0x3201cE80f6BDC04DC7Efd4e10bb99D9e6d3DE937, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1975898191568192400, Bid count: 0
Account: 0x033c03F58d1c3cF4699B90bb1dCFe655D6EE4616, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2100072829853291000, Bid count: 0
Account: 0xD3C9e80648dA96ff3804409A3fD376A1b5704D66, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1525605134275475300, Bid count: 0
Account: 0xe0Fba4aacD217239dcDdD7A6C83b20Da956775d4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1526890281784850000, Bid count: 0
Account: 0x3bE16f8a967F857F9BabD357d1A35B5AD590b79D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1143503050628815500, Bid count: 0
Account: 0x5f3272A1fa290f3cD5F1e5DbE5ef619A3a0CF583, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2313927876775439400, Bid count: 0
Account: 0x21c75C5BfF60812c354A4311D73Fca38b16Fe7a0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2063025359325173700, Bid count: 0
Account: 0x612e9C830F5EE85d53db407d25F92d9f9cA90423, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2236408733136043000, Bid count: 0
Account: 0x8db9778455F8f4EcCcee72ae42D6bf3C09cCe808, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2527683048484916000, Bid count: 0
Account: 0x18A39FAc7EaEBbc223b475bB223e8BC2d0387c54, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3494013232126663500, Bid count: 0
Account: 0x225FE43a15cCccE42F5983939AB40a76ddfF1F68, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1917925653578040500, Bid count: 0
Account: 0x86bBA6382A33ffb32EE969555B64F2A249baCbd8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2260861738701976000, Bid count: 0
Account: 0xAC63bA231B7E9770f3871B9D0f0ee4a5BE6cf436, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1674768300063494800, Bid count: 0
Account: 0x5131f99E9838b14388e27D73Fa17266eA4a1cfA8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2045249839727624400, Bid count: 0
Account: 0x2e24e3f0d4e6E5D89aD7c37E0430b3f7A5d6cb26, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2190270537777491000, Bid count: 0
Account: 0x6e5fCD2b4Ded80bc7f6f271038dd5d68D3422FEC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1458893393336366400, Bid count: 0
Account: 0x6349E460AFa3ec1CF8E51E824b379aBDe65C23A1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5107336732207080000, Bid count: 0
Account: 0x7b33350Fd24821Ad5b9eD10f24a055fb0c5E3A6D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1983038340530293600, Bid count: 0
Account: 0xc99C1dCdDcd363A8FD39A6dC9765D903eCAA716a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2791431565646615000, Bid count: 0
Account: 0xB950411c44E3Da69DB813144D88acf453907b262, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1594503954708164800, Bid count: 0
Account: 0x7b2237Ce6251af16b85b8962b61452d7D0D27A53, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4735485071266239000, Bid count: 0
Account: 0x5B4Ba5990821103D18c400e13C00Db2309DCF0F4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1482610383653761400, Bid count: 0
Account: 0x0635eE3519f1acE874843C6c60B8d87f30DeD317, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2677343561283388000, Bid count: 0
Account: 0xd94F6ba0b46fF9A12B1392c00e872b455866B393, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2658154137069709000, Bid count: 0
Account: 0x9A1DB91eD9E7b80bA606dba0DdE7f49fFE65Ab1c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2671508517482746000, Bid count: 0
Account: 0x2De866364d898c43e6375d738921206Fbb253921, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2772425987413462000, Bid count: 0
