Total supply:  1000
############## Round 0 ##############
Account: 0x5d733E4AACd5307bbA8F60cB7F9AE98e75741737, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2830088797100116500, Bid count: 0
Account: 0xDbF8493D6FFEf09Ff64252705F6E15f2c02ace95, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1962674353463927300, Bid count: 0
Account: 0xa5c5E370A1bE78E92B5BD3249651Ba3290Cd21c6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2663013067057110400, Bid count: 0
Account: 0xC7D2D9b55BAB8cA8cFf473D10Cdb6689aE918a5a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2902886488042098000, Bid count: 0
Account: 0x66dDC5d2F6D4D9543D6140056f23E301E1C91414, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1805965478340330300, Bid count: 0
Account: 0x2255Fc8e14D123Dc5a3c761A0B4100d4A65A8585, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2715021588419460400, Bid count: 0
Account: 0xdb769E0cA2C07d5d1185B116E4a4a810c73F1edf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3202861373245364000, Bid count: 0
Account: 0xB5140f4D3fEAAdeC7840b02150d4f0B583E281AA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1541384815977304000, Bid count: 0
Account: 0xea5879AB52519B6A28354fd1A80E01E6FEBF9BF1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1853277962249869000, Bid count: 0
Account: 0x2563d4ff8861fb46EABb720E43c41B303491A882, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1786137573119839200, Bid count: 0
Account: 0x46C760C4eD9Ad73fF3a5Df951D927692A7A07F52, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1777397059003411400, Bid count: 0
Account: 0x2770AB42B6780aa58994A5Ec9F37C7179587E05f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1825106325017540300, Bid count: 0
Account: 0xf2f9af47713c2304BDCb1C875d6E0ce917A9B9A1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2131130829957714000, Bid count: 0
Account: 0x91e22e1fD65b92AcCE3B30CF149De167346b7d24, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2386915935682294400, Bid count: 0
Account: 0xF6331c5985C4Ddda4063B54D4714f669cC899164, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2745109676635163300, Bid count: 0
Account: 0x53c409989AC5E6b8D90e15a6aedD1aA5464d5564, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1697181340346738800, Bid count: 0
Account: 0xeB690FF37917dB54485733E169ec5028Bf4A0e60, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2384300208649949400, Bid count: 0
Account: 0x13b0941A9eB7902eFa3C4937A969795B781a307C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2114287268051214000, Bid count: 0
Account: 0x93B73ba94a49115B025520d31bBD3DEadb7985df, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2820683762170396400, Bid count: 0
Account: 0xcee98084af921669D6f80E7ffaEE0B9dE39A3b00, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2272811180569896000, Bid count: 0
